config_id,family,family_label,family_position,workload,shape,M,N,K,precision,timeloop_compute_cycles,stage_matched_compute_cycles,cycle_pair_sum,timeloop_cycle_fraction,stage_cycle_fraction,timeloop_cycle_percent,stage_cycle_percent,cycle_signed_error,cycle_absolute_error,cycle_relative_error,cycle_exact_match,accelergy_shared_ert_energy_pj,stage_matched_energy_pj,energy_pair_sum_pj,accelergy_energy_fraction,stage_energy_fraction,accelergy_energy_percent,stage_energy_percent,energy_signed_error_pj,energy_absolute_error_pj,energy_relative_error,energy_exact_match,cycle_small_result_flag,energy_small_result_flag,cycle_zero_component_flag,energy_zero_component_flag,normalization_status
C31,attention_qk,Attention QK,4,attention_qk_s096_d128,M=96;N=96;K=128,96,96,128,int16,73728,73728,147456,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,72965575.9872172,72965575.9872172,145931151.9744344,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C32,attention_qk,Attention QK,5,attention_qk_s128_d064,M=128;N=128;K=64,128,128,64,int16,65536,65536,131072,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,63249772.73516196,63249772.73516195,126499545.47032391,0.500000000000000040,0.499999999999999960,50.000000000000004,49.999999999999996,-0.000000007450580596923828,0.000000007450580596923828,1.177961639185761600E-16,True,False,False,False,False,ok
C33,attention_qk,Attention QK,6,attention_qk_s128_d128,M=128;N=128;K=128,128,128,128,int16,131072,131072,262144,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,128897289.59832391,128897289.59832393,257794579.19664784,0.499999999999999961,0.500000000000000039,49.999999999999996,50.000000000000004,0.000000014901161193847656,0.000000014901161193847656,1.156049226503007800E-16,True,False,False,False,False,ok
C34,attention_qk,Attention QK,7,attention_qk_s192_d064,M=192;N=192;K=64,192,192,64,int16,147456,147456,294912,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,141390287.4777944,141390287.4777944,282780574.9555888,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C35,attention_qk,Attention QK,8,attention_qk_s192_d128,M=192;N=192;K=128,192,192,128,int16,294912,294912,589824,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,288175499.2435888,288175499.2435888,576350998.4871776,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C36,attention_qk,Attention QK,9,attention_qk_s256_d064,M=256;N=256;K=64,256,256,64,int16,262144,262144,524288,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,250541221.13712782,250541221.13712785,501082442.27425567,0.499999999999999970,0.500000000000000030,49.999999999999997,50.000000000000003,0.000000029802322387695312,0.000000029802322387695312,1.189517726960535500E-16,True,False,False,False,False,ok
C37,attention_qk,Attention QK,10,attention_qk_s256_d128,M=256;N=256;K=128,256,256,128,int16,524288,524288,1048576,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,510673418.78625566,510673418.78625566,1021346837.57251132,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C38,attention_pv,Attention PV,1,attention_pv_s064_d064,M=64;N=64;K=64,64,64,64,int16,16384,16384,32768,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,16119676.90923049,16119676.90923049,32239353.81846098,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C39,attention_pv,Attention PV,2,attention_pv_s064_d128,M=64;N=128;K=64,64,128,64,int16,32768,32768,65536,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,32239353.81846098,32239353.81846098,64478707.63692196,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C40,attention_pv,Attention PV,3,attention_pv_s096_d064,M=96;N=64;K=96,96,64,96,int16,36864,36864,73728,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,36257999.4816086,36257999.48160861,72515998.96321721,0.499999999999999931,0.500000000000000069,49.999999999999993,50.000000000000007,0.000000007450580596923828,0.000000007450580596923828,2.054879117283632500E-16,True,False,False,False,False,ok
C41,attention_pv,Attention PV,4,attention_pv_s096_d128,M=96;N=128;K=96,96,128,96,int16,73728,73728,147456,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,72515998.9632172,72515998.96321721,145031997.92643441,0.499999999999999966,0.500000000000000034,49.999999999999997,50.000000000000003,0.000000014901161193847656,0.000000014901161193847656,2.054879117283632500E-16,True,False,False,False,False,ok
C42,attention_pv,Attention PV,5,attention_pv_s128_d064,M=128;N=64;K=128,128,64,128,int16,65536,65536,131072,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,64448644.799161956,64448644.79916196,128897289.598323916,0.499999999999999984,0.500000000000000016,49.999999999999998,50.000000000000002,0.000000007450580596923828,0.000000007450580596923828,1.156049226503007800E-16,True,False,False,False,False,ok
C43,attention_pv,Attention PV,6,attention_pv_s128_d128,M=128;N=128;K=128,128,128,128,int16,131072,131072,262144,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,128897289.59832391,128897289.59832393,257794579.19664784,0.499999999999999961,0.500000000000000039,49.999999999999996,50.000000000000004,0.000000014901161193847656,0.000000014901161193847656,1.156049226503007800E-16,True,False,False,False,False,ok
C44,attention_pv,Attention PV,7,attention_pv_s192_d064,M=192;N=64;K=192,192,64,192,int16,147456,147456,294912,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,144986903.6697944,144986903.6697944,289973807.3395888,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C45,attention_pv,Attention PV,8,attention_pv_s192_d128,M=192;N=128;K=192,192,128,192,int16,294912,294912,589824,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,289973807.3395888,289973807.3395888,579947614.6791776,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C46,attention_pv,Attention PV,9,attention_pv_s256_d064,M=256;N=64;K=256,256,64,256,int16,262144,262144,524288,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,257734453.52112782,257734453.52112785,515468907.04225567,0.499999999999999971,0.500000000000000029,49.999999999999997,50.000000000000003,0.000000029802322387695312,0.000000029802322387695312,1.156318915866336200E-16,True,False,False,False,False,ok
C47,attention_pv,Attention PV,10,attention_pv_s256_d128,M=256;N=128;K=256,256,128,256,int16,524288,524288,1048576,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,515468907.04225564,515468907.0422557,1030937814.08451134,0.499999999999999971,0.500000000000000029,49.999999999999997,50.000000000000003,0.00000005960464477539063,0.00000005960464477539063,1.156318915866336200E-16,True,False,False,False,False,ok
